index,Y,X,
119,1.424376002,103.84261,
120,1.369065012,103.826296,
121,1.402232999,103.915405,
122,1.437633018,103.769934,
123,1.408689993,103.96542,
124,1.284353007,103.790319,
125,1.214058333,103.8348056,
126,1.278845007,103.810545,
127,1.278630653,103.8014812,
128,1.284243997,103.851335,
129,1.286639004,103.846578,
130,1.305734008,103.883301,
131,1.301571987,103.887304,
132,1.340453023,103.884275,
133,1.298971001,103.847775,
134,1.307304997,103.859533,
135,1.300096994,103.841238,
136,1.312670009,103.813894,
137,1.336924017,103.769163,
138,1.318784989,103.939424,
139,1.32736399,103.914737,
140,1.324428004,103.953982,
141,1.362848014,103.972157,
142,1.328995983,103.915658,
143,1.315365007,103.914286,
144,1.386942983,103.8566,
145,1.381468003,103.86872,
146,1.374509013,103.811353,
147,1.356359004,103.860395,
148,1.436523996,103.779226,
149,1.440211094,103.7354694,
150,1.389702008,103.860192,
151,1.452700003,103.780115,
152,1.372002011,103.83453,
153,1.343887005,103.883247,
154,1.390109003,103.852236,
155,1.379920993,103.83456,
156,1.373476017,103.829858,
157,1.368981997,103.880039,
158,1.439358011,103.826964,
159,1.38825799,103.856121,
160,1.387012006,103.85751,
161,1.375997005,103.832499,
162,1.384262002,103.862974,
163,1.359630997,103.863872,
164,1.405671984,103.820607,
165,1.386954014,103.835072,
166,1.420227004,103.719891,
167,1.45754,103.836984,
168,1.280437996,103.846119,
169,1.281121993,103.841419,
170,1.437621993,103.835077,
171,1.315872975,103.931431,
172,1.333020981,103.94388,
173,1.323983001,103.946385,
174,1.39926599,103.871065,
175,1.387661981,103.856752,
176,1.346781994,103.881825,
177,1.321632986,103.921577,
178,1.339039003,103.958234,
179,1.346094999,103.960344,
180,1.324284005,103.946228,
181,1.391794026,103.986344,
182,1.381991984,103.8292,
183,1.310996001,103.923806,
184,1.311047991,103.816251,
185,1.265760987,103.803133,
186,1.434169007,103.8226469,
187,1.317013002,103.936212,
188,1.319287002,103.941376,
189,1.334335434,103.9208701,
190,1.38637898,103.838321,
191,1.310324992,103.912805,
192,1.38779799,103.868413,
193,1.357221983,103.867553,
194,1.339094002,103.92681,
195,1.347108987,103.867396,
196,1.390043988,103.975878,
197,1.335886008,103.771683,
198,1.346138019,103.766776,
199,1.323298993,103.796581,
200,1.324838011,103.842728,
201,1.312399003,103.843204,
202,1.279206998,103.788954,
203,1.289417001,103.853597,
204,1.361455989,103.847295,
205,1.303381003,103.888214,
206,1.304278005,103.790368,
207,1.297175002,103.886367,
208,1.298568993,103.894197,
209,1.316152985,103.843852,
210,1.320695493,103.8179182,
211,1.358270003,103.825161,
212,1.320361006,103.840699,
213,1.321132982,103.833174,
214,1.275698999,103.792076,
215,1.313650016,103.889369,
216,1.278177998,103.846687,
217,1.329138016,103.879963,
218,1.279026005,103.790185,
219,1.282380991,103.839541,
220,1.33232501,103.878436,
221,1.306519,103.90074,
222,1.354035993,103.839945,
223,1.314407999,103.901699,
224,1.335704011,103.801713,
225,1.323103989,103.77326,
226,1.353370004,103.84272,
227,1.353646967,103.832028,
228,1.340515987,103.765984,
229,1.361998996,103.828439,
230,1.341522989,103.83359,
231,1.290572001,103.864679,
232,1.370571,103.850286,
233,1.312482992,103.782779,
234,1.322436017,103.791281,
235,1.292824997,103.854818,
